locus_id,gene_name,gene_id,gtex_tissue,gtex_chrom,reference_genome,maf_min,maf_max,min_sample_size,alphagenome_sequence_length,alphagenome_target_data_source,alphagenome_target_gtex_tissue,alphagenome_batch_size,alphagenome_max_workers,alphagenome_retry_wait_seconds,enabled
ensg00000005379_17_lung,ENSG00000005379.17,ENSG00000005379.17,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000007216_16_lung,ENSG00000007216.16,ENSG00000007216.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000074755_15_lung,ENSG00000074755.15,ENSG00000074755.15,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000078687_17_lung,ENSG00000078687.17,ENSG00000078687.17,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000091622_16_lung,ENSG00000091622.16,ENSG00000091622.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000108448_23_lung,ENSG00000108448.23,ENSG00000108448.23,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000108559_12_lung,ENSG00000108559.12,ENSG00000108559.12,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000108785_7_lung,ENSG00000108785.7,ENSG00000108785.7,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000108799_13_lung,ENSG00000108799.13,ENSG00000108799.13,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000108984_15_lung,ENSG00000108984.15,ENSG00000108984.15,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000109065_12_lung,ENSG00000109065.12,ENSG00000109065.12,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000109101_8_lung,ENSG00000109101.8,ENSG00000109101.8,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000121058_5_lung,ENSG00000121058.5,ENSG00000121058.5,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000125445_11_lung,ENSG00000125445.11,ENSG00000125445.11,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000125447_18_lung,ENSG00000125447.18,ENSG00000125447.18,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000125686_12_lung,ENSG00000125686.12,ENSG00000125686.12,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000126653_18_lung,ENSG00000126653.18,ENSG00000126653.18,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000129195_16_lung,ENSG00000129195.16,ENSG00000129195.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000131473_17_lung,ENSG00000131473.17,ENSG00000131473.17,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000131480_9_lung,ENSG00000131480.9,ENSG00000131480.9,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000132376_20_lung,ENSG00000132376.20,ENSG00000132376.20,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000132522_16_lung,ENSG00000132522.16,ENSG00000132522.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000132591_12_lung,ENSG00000132591.12,ENSG00000132591.12,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000141337_13_lung,ENSG00000141337.13,ENSG00000141337.13,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000141542_11_lung,ENSG00000141542.11,ENSG00000141542.11,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000141556_22_lung,ENSG00000141556.22,ENSG00000141556.22,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000141570_11_lung,ENSG00000141570.11,ENSG00000141570.11,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000159111_13_lung,ENSG00000159111.13,ENSG00000159111.13,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000161647_19_lung,ENSG00000161647.19,ENSG00000161647.19,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000161692_18_lung,ENSG00000161692.18,ENSG00000161692.18,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000167100_15_lung,ENSG00000167100.15,ENSG00000167100.15,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000167281_20_lung,ENSG00000167281.20,ENSG00000167281.20,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000167525_15_lung,ENSG00000167525.15,ENSG00000167525.15,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000167695_15_lung,ENSG00000167695.15,ENSG00000167695.15,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000167720_13_lung,ENSG00000167720.13,ENSG00000167720.13,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000167842_16_lung,ENSG00000167842.16,ENSG00000167842.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000168591_16_lung,ENSG00000168591.16,ENSG00000168591.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000169683_8_lung,ENSG00000169683.8,ENSG00000169683.8,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000169718_18_lung,ENSG00000169718.18,ENSG00000169718.18,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000171298_13_lung,ENSG00000171298.13,ENSG00000171298.13,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000171953_16_lung,ENSG00000171953.16,ENSG00000171953.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000173826_15_lung,ENSG00000173826.15,ENSG00000173826.15,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
