locus_id,annotate,notes,priority,annotation_gene_name_override,annotation_gene_id_override,annotation_tissue_override
pus7l_chr12_lung,True,baseline_susie_predicted_actual_geometric_n20,1,,,
ydjc_chr22_lung,True,baseline_susie_predicted_actual_geometric_n20,2,,,
serf1a_chr5_lung,True,baseline_susie_predicted_actual_geometric_n20,3,,,
sil1_chr5_lung,True,baseline_susie_predicted_actual_geometric_n20,4,,,
rnf14_chr5_lung,True,baseline_susie_predicted_actual_geometric_n20,5,,,
erbb3_chr12_lung,True,baseline_susie_predicted_actual_geometric_n20,6,,,
rrp7a_chr22_lung,True,baseline_susie_predicted_actual_geometric_n20,7,,,
nbpf19_chr1_lung,True,baseline_susie_predicted_actual_geometric_n20,8,,,
prpf38b_chr1_lung,True,baseline_susie_predicted_actual_geometric_n20,9,,,
arsa_chr22_lung,True,baseline_susie_predicted_actual_geometric_n20,10,,,
cd1d_chr1_lung,True,baseline_susie_predicted_actual_geometric_n20,11,,,
snrnp35_chr12_lung,True,baseline_susie_predicted_actual_geometric_n20,12,,,
arhgef37_chr5_lung,True,baseline_susie_predicted_actual_geometric_n20,13,,,
pzp_chr12_lung,True,baseline_susie_predicted_actual_geometric_n20,14,,,
tmtc1_chr12_lung,True,baseline_susie_predicted_actual_geometric_n20,15,,,
lgals9_chr17_lung,True,baseline_susie_predicted_actual_geometric_n20,16,,,
znf280b_chr22_lung,True,baseline_susie_predicted_actual_geometric_n20,17,,,
trabd_chr22_lung,True,baseline_susie_predicted_actual_geometric_n20,18,,,
supt4h1_chr17_lung,True,baseline_susie_predicted_actual_geometric_n20,19,,,
pcdhac2_chr5_lung,True,baseline_susie_predicted_actual_geometric_n20,20,,,
