locus_id,gene_name,gene_id,gene_type,gtex_tissue,gtex_chrom,reference_genome,maf_min,maf_max,min_sample_size,alphagenome_sequence_length,alphagenome_target_data_source,alphagenome_target_gtex_tissue,alphagenome_batch_size,alphagenome_max_workers,alphagenome_retry_wait_seconds,enabled
kpna6_chr1_lung,KPNA6,ENSG00000025800.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
chi3l2_chr1_lung,CHI3L2,ENSG00000064886.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pacc1_chr1_lung,PACC1,ENSG00000065600.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
kdm4a_chr1_lung,KDM4A,ENSG00000066135.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
elovl1_chr1_lung,ELOVL1,ENSG00000066322.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ptgs2_chr1_lung,PTGS2,ENSG00000073756.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
asap3_chr1_lung,ASAP3,ENSG00000088280.20,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tnr_chr1_lung,TNR,ENSG00000116147.17,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
phf13_chr1_lung,PHF13,ENSG00000116273.6,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
srsf4_chr1_lung,SRSF4,ENSG00000116350.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
hdac1_chr1_lung,HDAC1,ENSG00000116478.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dlgap3_chr1_lung,DLGAP3,ENSG00000116544.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
srm_chr1_lung,SRM,ENSG00000116649.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cth_chr1_lung,CTH,ENSG00000116761.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
agmat_chr1_lung,AGMAT,ENSG00000116771.6,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cfhr3_chr1_lung,CFHR3,ENSG00000116785.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
wars2_chr1_lung,WARS2,ENSG00000116874.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mtr_chr1_lung,MTR,ENSG00000116984.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
acadm_chr1_lung,ACADM,ENSG00000117054.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cd48_chr1_lung,CD48,ENSG00000117091.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rgs4_chr1_lung,RGS4,ENSG00000117152.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
igsf21_chr1_lung,IGSF21,ENSG00000117154.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gale_chr1_lung,GALE,ENSG00000117308.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
p3h1_chr1_lung,P3H1,ENSG00000117385.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cdc20_chr1_lung,CDC20,ENSG00000117399.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tspan1_chr1_lung,TSPAN1,ENSG00000117472.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
blzf1_chr1_lung,BLZF1,ENSG00000117475.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cnn3_chr1_lung,CNN3,ENSG00000117519.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
stmn1_chr1_lung,STMN1,ENSG00000117632.23,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
camsap2_chr1_lung,CAMSAP2,ENSG00000118200.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
desi2_chr1_lung,DESI2,ENSG00000121644.19,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ly9_chr1_lung,LY9,ENSG00000122224.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rnf11_chr1_lung,RNF11,ENSG00000123091.5,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ahdc1_chr1_lung,AHDC1,ENSG00000126705.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ubr4_chr1_lung,UBR4,ENSG00000127481.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
fmo5_chr1_lung,FMO5,ENSG00000131781.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
syt11_chr1_lung,SYT11,ENSG00000132718.9,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
srrm1_chr1_lung,SRRM1,ENSG00000133226.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
prpf38b_chr1_lung,PRPF38B,ENSG00000134186.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gstm5_chr1_lung,GSTM5,ENSG00000134201.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ptpn22_chr1_lung,PTPN22,ENSG00000134242.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rps6kc1_chr1_lung,RPS6KC1,ENSG00000136643.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
c1orf216_chr1_lung,C1orf216,ENSG00000142686.8,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mpc2_chr1_lung,MPC2,ENSG00000143158.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
